ymin	ymax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL	group
1978.5	1979.5	1979 1963	année	1979	année	1963	1	974
1979.5	1980.5	1980 1963	année	1980	année	1963	1	1025
1980.5	1981.5	1981 1963	année	1981	année	1963	1	1076
1981.5	1982.5	1982 1963	année	1982	année	1963	1	1127
1982.5	1983.5	1983 1963	année	1983	année	1963	1	1178
1983.5	1984.5	1984 1963	année	1984	année	1963	1	1229
1984.5	1985.5	1985 1963	année	1985	année	1963	1	1280
1985.5	1986.5	1986 1963	année	1986	année	1963	1	1331
1986.5	1987.5	1987 1963	année	1987	année	1963	1	1382
1987.5	1988.5	1988 1963	année	1988	année	1963	1	1433
1988.5	1989.5	1989 1963	année	1989	année	1963	1	1484
1989.5	1990.5	1990 1963	année	1990	année	1963	1	1535
1990.5	1991.5	1991 1963	année	1991	année	1963	1	1586
1991.5	1992.5	1992 1963	année	1992	année	1963	1	1637
1992.5	1993.5	1993 1963	année	1993	année	1963	1	1688
1993.5	1994.5	1994 1963	année	1994	année	1963	1	1739
1994.5	1995.5	1995 1963	année	1995	année	1963	1	1790
1995.5	1996.5	1996 1963	année	1996	année	1963	1	1841
1996.5	1997.5	1997 1963	année	1997	année	1963	1	1892
1997.5	1998.5	1998 1963	année	1998	année	1963	1	1943
1998.5	1999.5	1999 1963	année	1999	année	1963	1	1994
1999.5	2000.5	2000 1963	année	2000	année	1963	1	2045
2000.5	2001.5	2001 1963	année	2001	année	1963	1	2096
2001.5	2002.5	2002 1963	année	2002	année	1963	1	2147
2002.5	2003.5	2003 1963	année	2003	année	1963	1	2198
2003.5	2004.5	2004 1963	année	2004	année	1963	1	2249
2004.5	2005.5	2005 1963	année	2005	année	1963	1	2300
2005.5	2006.5	2006 1963	année	2006	année	1963	1	2351
2006.5	2007.5	2007 1963	année	2007	année	1963	1	2402
2007.5	2008.5	2008 1963	année	2008	année	1963	1	2453
2008.5	2009.5	2009 1963	année	2009	année	1963	1	2504
2009.5	2010.5	2010 1963	année	2010	année	1963	1	2555
2010.5	2011.5	2011 1963	année	2011	année	1963	1	2606
1959.5	1960.5	1960 1964	année	1960	année	1964	1	5
1960.5	1961.5	1961 1964	année	1961	année	1964	1	56
1961.5	1962.5	1962 1964	année	1962	année	1964	1	107
1962.5	1963.5	1963 1964	année	1963	année	1964	1	158
1963.5	1964.5	1	année	1964	année	1964	1	1
1964.5	1965.5	1965 1964	année	1965	année	1964	1	261
1965.5	1966.5	1966 1964	année	1966	année	1964	1	312
1966.5	1967.5	1967 1964	année	1967	année	1964	1	363
1967.5	1968.5	1968 1964	année	1968	année	1964	1	414
1968.5	1969.5	1969 1964	année	1969	année	1964	1	465
1969.5	1970.5	1970 1964	année	1970	année	1964	1	516
1970.5	1971.5	1971 1964	année	1971	année	1964	1	567
1971.5	1972.5	1972 1964	année	1972	année	1964	1	618
1972.5	1973.5	1973 1964	année	1973	année	1964	1	669
1973.5	1974.5	1974 1964	année	1974	année	1964	1	720
1974.5	1975.5	1975 1964	année	1975	année	1964	1	771
1975.5	1976.5	1976 1964	année	1976	année	1964	1	822
1976.5	1977.5	1977 1964	année	1977	année	1964	1	873
1977.5	1978.5	1978 1964	année	1978	année	1964	1	924
1978.5	1979.5	1979 1964	année	1979	année	1964	1	975
1979.5	1980.5	1980 1964	année	1980	année	1964	1	1026
1980.5	1981.5	1981 1964	année	1981	année	1964	1	1077
1981.5	1982.5	1982 1964	année	1982	année	1964	1	1128
1982.5	1983.5	1983 1964	année	1983	année	1964	1	1179
1983.5	1984.5	1984 1964	année	1984	année	1964	1	1230
1984.5	1985.5	1985 1964	année	1985	année	1964	1	1281
1985.5	1986.5	1986 1964	année	1986	année	1964	1	1332
1986.5	1987.5	1987 1964	année	1987	année	1964	1	1383
1987.5	1988.5	1988 1964	année	1988	année	1964	1	1434
1988.5	1989.5	1989 1964	année	1989	année	1964	1	1485
1989.5	1990.5	1990 1964	année	1990	année	1964	1	1536
1990.5	1991.5	1991 1964	année	1991	année	1964	1	1587
1991.5	1992.5	1992 1964	année	1992	année	1964	1	1638
1992.5	1993.5	1993 1964	année	1993	année	1964	1	1689
1993.5	1994.5	1994 1964	année	1994	année	1964	1	1740
1994.5	1995.5	1995 1964	année	1995	année	1964	1	1791
1995.5	1996.5	1996 1964	année	1996	année	1964	1	1842
1996.5	1997.5	1997 1964	année	1997	année	1964	1	1893
1997.5	1998.5	1998 1964	année	1998	année	1964	1	1944
1998.5	1999.5	1999 1964	année	1999	année	1964	1	1995
1999.5	2000.5	2000 1964	année	2000	année	1964	1	2046
2000.5	2001.5	2001 1964	année	2001	année	1964	1	2097
2001.5	2002.5	2002 1964	année	2002	année	1964	1	2148
2002.5	2003.5	2003 1964	année	2003	année	1964	1	2199
2003.5	2004.5	2004 1964	année	2004	année	1964	1	2250
2004.5	2005.5	2005 1964	année	2005	année	1964	1	2301
2005.5	2006.5	2006 1964	année	2006	année	1964	1	2352
2006.5	2007.5	2007 1964	année	2007	année	1964	1	2403
2007.5	2008.5	2008 1964	année	2008	année	1964	1	2454
2008.5	2009.5	2009 1964	année	2009	année	1964	1	2505
2009.5	2010.5	2010 1964	année	2010	année	1964	1	2556
2010.5	2011.5	2011 1964	année	2011	année	1964	1	2607
1959.5	1960.5	1960 1965	année	1960	année	1965	1	6
1960.5	1961.5	1961 1965	année	1961	année	1965	1	57
1961.5	1962.5	1962 1965	année	1962	année	1965	1	108
1962.5	1963.5	1963 1965	année	1963	année	1965	1	159
1963.5	1964.5	1964 1965	année	1964	année	1965	1	210
1964.5	1965.5	1	année	1965	année	1965	1	1
1965.5	1966.5	1966 1965	année	1966	année	1965	1	313
1966.5	1967.5	1967 1965	année	1967	année	1965	1	364
1967.5	1968.5	1968 1965	année	1968	année	1965	1	415
1968.5	1969.5	1969 1965	année	1969	année	1965	1	466
1969.5	1970.5	1970 1965	année	1970	année	1965	1	517
1970.5	1971.5	1971 1965	année	1971	année	1965	1	568
1971.5	1972.5	1972 1965	année	1972	année	1965	1	619
1972.5	1973.5	1973 1965	année	1973	année	1965	1	670
1973.5	1974.5	1974 1965	année	1974	année	1965	1	721
1974.5	1975.5	1975 1965	année	1975	année	1965	1	772
1975.5	1976.5	1976 1965	année	1976	année	1965	1	823
1976.5	1977.5	1977 1965	année	1977	année	1965	1	874
1977.5	1978.5	1978 1965	année	1978	année	1965	1	925
1978.5	1979.5	1979 1965	année	1979	année	1965	1	976
1979.5	1980.5	1980 1965	année	1980	année	1965	1	1027
1980.5	1981.5	1981 1965	année	1981	année	1965	1	1078
1981.5	1982.5	1982 1965	année	1982	année	1965	1	1129
1982.5	1983.5	1983 1965	année	1983	année	1965	1	1180
1983.5	1984.5	1984 1965	année	1984	année	1965	1	1231
1984.5	1985.5	1985 1965	année	1985	année	1965	1	1282
1985.5	1986.5	1986 1965	année	1986	année	1965	1	1333
1986.5	1987.5	1987 1965	année	1987	année	1965	1	1384
1987.5	1988.5	1988 1965	année	1988	année	1965	1	1435
1988.5	1989.5	1989 1965	année	1989	année	1965	1	1486
1989.5	1990.5	1990 1965	année	1990	année	1965	1	1537
1990.5	1991.5	1991 1965	année	1991	année	1965	1	1588
1991.5	1992.5	1992 1965	année	1992	année	1965	1	1639
1992.5	1993.5	1993 1965	année	1993	année	1965	1	1690
1993.5	1994.5	1994 1965	année	1994	année	1965	1	1741
1994.5	1995.5	1995 1965	année	1995	année	1965	1	1792
1995.5	1996.5	1996 1965	année	1996	année	1965	1	1843
1996.5	1997.5	1997 1965	année	1997	année	1965	1	1894
1997.5	1998.5	1998 1965	année	1998	année	1965	1	1945
1998.5	1999.5	1999 1965	année	1999	année	1965	1	1996
1999.5	2000.5	2000 1965	année	2000	année	1965	1	2047
2000.5	2001.5	2001 1965	année	2001	année	1965	1	2098
2001.5	2002.5	2002 1965	année	2002	année	1965	1	2149
2002.5	2003.5	2003 1965	année	2003	année	1965	1	2200
2003.5	2004.5	2004 1965	année	2004	année	1965	1	2251
2004.5	2005.5	2005 1965	année	2005	année	1965	1	2302
2005.5	2006.5	2006 1965	année	2006	année	1965	1	2353
2006.5	2007.5	2007 1965	année	2007	année	1965	1	2404
2007.5	2008.5	2008 1965	année	2008	année	1965	1	2455
2008.5	2009.5	2009 1965	année	2009	année	1965	1	2506
2009.5	2010.5	2010 1965	année	2010	année	1965	1	2557
2010.5	2011.5	2011 1965	année	2011	année	1965	1	2608
1959.5	1960.5	1960 1966	année	1960	année	1966	1	7
1960.5	1961.5	1961 1966	année	1961	année	1966	1	58
1961.5	1962.5	1962 1966	année	1962	année	1966	1	109
1962.5	1963.5	1963 1966	année	1963	année	1966	1	160
1963.5	1964.5	1964 1966	année	1964	année	1966	1	211
1964.5	1965.5	1965 1966	année	1965	année	1966	1	262
1965.5	1966.5	1	année	1966	année	1966	1	1
1966.5	1967.5	1967 1966	année	1967	année	1966	1	365
1967.5	1968.5	1968 1966	année	1968	année	1966	1	416
1968.5	1969.5	1969 1966	année	1969	année	1966	1	467
1969.5	1970.5	1970 1966	année	1970	année	1966	1	518
1970.5	1971.5	1971 1966	année	1971	année	1966	1	569
1971.5	1972.5	1972 1966	année	1972	année	1966	1	620
1972.5	1973.5	1973 1966	année	1973	année	1966	1	671
1973.5	1974.5	1974 1966	année	1974	année	1966	1	722
1974.5	1975.5	1975 1966	année	1975	année	1966	1	773
1975.5	1976.5	1976 1966	année	1976	année	1966	1	824
1976.5	1977.5	1977 1966	année	1977	année	1966	1	875
1977.5	1978.5	1978 1966	année	1978	année	1966	1	926
1978.5	1979.5	1979 1966	année	1979	année	1966	1	977
1979.5	1980.5	1980 1966	année	1980	année	1966	1	1028
1980.5	1981.5	1981 1966	année	1981	année	1966	1	1079
1981.5	1982.5	1982 1966	année	1982	année	1966	1	1130
1982.5	1983.5	1983 1966	année	1983	année	1966	1	1181
1983.5	1984.5	1984 1966	année	1984	année	1966	1	1232
1984.5	1985.5	1985 1966	année	1985	année	1966	1	1283
1985.5	1986.5	1986 1966	année	1986	année	1966	1	1334
1986.5	1987.5	1987 1966	année	1987	année	1966	1	1385
1987.5	1988.5	1988 1966	année	1988	année	1966	1	1436
1988.5	1989.5	1989 1966	année	1989	année	1966	1	1487
1989.5	1990.5	1990 1966	année	1990	année	1966	1	1538
1990.5	1991.5	1991 1966	année	1991	année	1966	1	1589
1991.5	1992.5	1992 1966	année	1992	année	1966	1	1640
1992.5	1993.5	1993 1966	année	1993	année	1966	1	1691
1993.5	1994.5	1994 1966	année	1994	année	1966	1	1742
1994.5	1995.5	1995 1966	année	1995	année	1966	1	1793
1995.5	1996.5	1996 1966	année	1996	année	1966	1	1844
1996.5	1997.5	1997 1966	année	1997	année	1966	1	1895
1997.5	1998.5	1998 1966	année	1998	année	1966	1	1946
1998.5	1999.5	1999 1966	année	1999	année	1966	1	1997
1999.5	2000.5	2000 1966	année	2000	année	1966	1	2048
2000.5	2001.5	2001 1966	année	2001	année	1966	1	2099
